model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 X1,2017,18200,Manual,20925,Diesel,150,68.9,2.0
 3 Series,2016,16575,Manual,30521,Diesel,20,68.9,2.0
 X1,2018,23400,Manual,16066,Petrol,150,51.4,1.5
 1 Series,2015,14430,Manual,11524,Diesel,0,83.1,1.5
 1 Series,2017,16510,Manual,21809,Petrol,145,53.3,1.5
 1 Series,2017,18850,Automatic,27245,Diesel,145,68.9,2.0
 3 Series,2013,16575,Automatic,35736,Diesel,125,58.9,2.0
 X1,2017,18330,Automatic,55782,Diesel,145,65.7,2.0
 1 Series,2016,14040,Manual,26404,Petrol,125,53.3,1.5
 1 Series,2016,16900,Manual,26631,Petrol,125,52.3,1.5
 1 Series,2016,16250,Manual,24111,Petrol,145,47.1,1.6
 3 Series,2017,17680,Manual,22763,Petrol,145,48.7,2.0
 3 Series,2016,16510,Manual,17385,Diesel,20,72.4,2.0
 5 Series,2016,20280,Automatic,35474,Diesel,125,60.1,2.0
 4 Series,2016,19825,Manual,16584,Diesel,30,62.8,2.0
 1 Series,2018,15210,Manual,30273,Diesel,145,53.3,1.5
 2 Series,2017,14170,Manual,62021,Diesel,145,65.7,2.0
 5 Series,2016,18720,Automatic,51552,Diesel,30,62.8,2.0
 1 Series,2016,14430,Manual,29508,Petrol,125,53.3,1.5
 1 Series,2017,14430,Manual,30865,Diesel,145,72.4,1.5
 5 Series,2014,16120,Automatic,46356,Diesel,30,62.8,2.0
 1 Series,2016,16640,Manual,18343,Diesel,20,70.6,1.5
 5 Series,2014,19500,Automatic,13858,Diesel,125,57.6,2.0
 2 Series,2017,16575,Manual,33752,Petrol,125,52.3,1.5
 X3,2016,28275,Automatic,19083,Diesel,150,54.3,2.0
 2 Series,2017,18070,Automatic,46281,Petrol,125,51.4,1.5
 X1,2017,18200,Automatic,54183,Diesel,150,65.7,2.0
 X1,2017,19760,Automatic,36701,Diesel,30,65.7,2.0
 3 Series,2017,17550,Automatic,48082,Petrol,150,51.4,2.0
 X1,2016,15795,Manual,77482,Diesel,20,68.9,2.0
 2 Series,2017,20800,Automatic,32389,Other,0,141.2,1.5
 5 Series,2016,18200,Automatic,39235,Diesel,30,62.8,2.0
 3 Series,2018,25337,Automatic,30703,Diesel,145,57.6,2.0
 1 Series,2015,20149,Semi-Auto,20000,Diesel,125,60.1,2.0
 2 Series,2017,16900,Semi-Auto,34971,Diesel,150,72.4,1.5
 1 Series,2014,13780,Semi-Auto,44900,Diesel,30,64.2,2.0
 X3,2017,29900,Semi-Auto,16945,Diesel,150,54.3,2.0
 M4,2016,38997,Semi-Auto,34209,Petrol,300,34.0,3.0
 1 Series,2017,16247,Manual,14138,Diesel,20,72.4,1.5
 1 Series,2015,10332,Manual,74375,Diesel,30,65.7,2.0
 X1,2017,23140,Automatic,31238,Diesel,145,55.4,2.0
 3 Series,2015,17030,Manual,37204,Diesel,30,64.2,2.0
 1 Series,2017,14820,Manual,26265,Diesel,0,83.1,1.5
 3 Series,2016,19240,Automatic,38838,Diesel,125,57.6,2.0
 X3,2016,20670,Automatic,59692,Diesel,145,54.3,2.0
 3 Series,2016,21190,Automatic,34623,Diesel,125,57.6,2.0
 3 Series,2017,19240,Manual,29968,Diesel,30,64.2,2.0
 3 Series,2017,25610,Automatic,27748,Diesel,200,49.6,3.0
 3 Series,2015,18785,Automatic,47288,Diesel,30,62.8,2.0
 5 Series,2016,17550,Automatic,64117,Diesel,30,65.7,2.0
 5 Series,2015,14170,Automatic,79563,Diesel,125,60.1,2.0
 3 Series,2016,15860,Manual,34842,Diesel,30,67.3,2.0
 2 Series,2016,13780,Manual,24313,Diesel,0,74.3,1.5
 2 Series,2015,11830,Manual,40789,Diesel,0,74.3,1.5
 3 Series,2017,16380,Automatic,66743,Diesel,30,67.3,2.0
 5 Series,2016,17680,Automatic,65612,Diesel,30,62.8,2.0
 1 Series,2016,15210,Manual,21390,Diesel,20,72.4,1.5
 3 Series,2017,16185,Automatic,72065,Diesel,20,70.6,2.0
 5 Series,2016,17550,Automatic,62444,Diesel,125,60.1,2.0
 X3,2013,16575,Automatic,71558,Diesel,160,50.4,2.0
 X1,2017,21710,Automatic,34666,Diesel,145,65.7,2.0
 1 Series,2016,14820,Manual,22920,Diesel,20,72.4,1.5
 X5,2016,27300,Automatic,71626,Other,0,85.6,2.0
 X1,2017,19110,Manual,38405,Diesel,145,68.9,2.0
 3 Series,2018,24700,Automatic,20681,Diesel,145,64.2,2.0
 3 Series,2017,20020,Automatic,20529,Diesel,145,65.7,2.0
 X3,2016,24700,Automatic,42691,Diesel,145,54.3,2.0
 1 Series,2018,19500,Automatic,10058,Petrol,145,37.2,1.5
 3 Series,2016,23335,Automatic,40337,Diesel,145,53.3,3.0
 5 Series,2018,29380,Automatic,23195,Diesel,145,65.7,2.0
 1 Series,2017,17160,Manual,17117,Petrol,145,53.3,1.5
 3 Series,2017,16575,Manual,22153,Diesel,150,68.9,2.0
 3 Series,2015,12675,Manual,56038,Diesel,20,68.9,2.0
 3 Series,2017,14170,Automatic,78345,Diesel,0,74.3,2.0
 X4,2016,27820,Automatic,31084,Diesel,145,54.3,2.0
 1 Series,2017,18980,Automatic,5615,Petrol,145,58.9,1.5
 3 Series,2017,16380,Automatic,55751,Petrol,150,51.4,1.5
 X4,2017,29250,Automatic,35016,Diesel,150,54.3,2.0
 1 Series,2016,10400,Manual,81579,Diesel,0,83.1,1.5
 X1,2017,19240,Manual,31518,Diesel,145,60.1,2.0
 1 Series,2016,12870,Manual,44008,Diesel,0,83.1,1.5
 2 Series,2016,12350,Manual,59509,Diesel,20,68.9,2.0
 3 Series,2017,23335,Automatic,43703,Other,140,134.5,2.0
 1 Series,2016,18460,Automatic,36858,Diesel,125,60.1,2.0
 1 Series,2016,15730,Automatic,25786,Diesel,0,74.3,2.0
 1 Series,2016,16510,Automatic,24592,Diesel,20,68.9,2.0
 1 Series,2016,11440,Manual,51002,Diesel,0,83.1,1.5
 1 Series,2017,19500,Automatic,26052,Diesel,145,68.9,2.0
 3 Series,2017,22230,Automatic,31528,Diesel,145,64.2,2.0
 X3,2017,28275,Automatic,25776,Diesel,200,47.9,3.0
 1 Series,2016,17420,Manual,18055,Petrol,125,52.3,1.5
 3 Series,2014,12870,Automatic,63223,Diesel,20,68.9,2.0
 1 Series,2016,17810,Manual,8719,Petrol,125,52.3,1.5
 4 Series,2018,21970,Automatic,27133,Petrol,145,44.8,2.0
 5 Series,2018,28535,Automatic,21947,Diesel,150,68.9,2.0
 X1,2013,11375,Manual,80625,Diesel,160,51.4,2.0
 3 Series,2017,22100,Automatic,31501,Other,0,134.5,2.0
 1 Series,2016,17875,Automatic,8707,Petrol,30,55.5,1.5
 1 Series,2017,16640,Manual,10861,Petrol,125,53.3,1.5
 4 Series,2017,20800,Manual,16359,Petrol,145,46.3,2.0
 4 Series,2017,21580,Automatic,46913,Diesel,145,65.7,2.0
 3 Series,2017,19630,Manual,37747,Diesel,125,60.1,2.0
 4 Series,2017,21775,Manual,24882,Petrol,145,46.3,2.0
 1 Series,2015,16185,Manual,24474,Petrol,125,52.3,1.5
 3 Series,2018,20410,Automatic,29394,Petrol,145,48.7,2.0
 5 Series,2016,16380,Manual,59528,Diesel,125,60.1,2.0
 2 Series,2016,18980,Manual,15577,Petrol,160,44.1,2.0
 X1,2016,17810,Manual,52226,Diesel,20,68.9,2.0
 3 Series,2017,21970,Automatic,12330,Diesel,30,64.2,2.0
 4 Series,2015,20797,Semi-Auto,62943,Diesel,30,65.7,2.0
 X1,2020,40947,Semi-Auto,1560,Diesel,145,60.1,2.0
 2 Series,2020,36397,Manual,1580,Petrol,150,43.5,1.5
 X5,2020,71497,Semi-Auto,1500,Diesel,150,37.7,3.0
 3 Series,2014,15597,Manual,11545,Petrol,165,44.8,2.0
 2 Series,2020,33797,Automatic,3160,Hybrid,140,113.0,1.5
 1 Series,2020,41597,Semi-Auto,1560,Diesel,150,48.7,2.0
 X2,2020,38997,Manual,1850,Diesel,150,49.6,2.0
 X4,2019,44197,Semi-Auto,7272,Diesel,150,42.8,2.0
 X4,2019,44197,Semi-Auto,7272,Diesel,150,42.8,2.0
 1 Series,2017,19494,Manual,19866,Diesel,30,65.7,2.0
 4 Series,2016,23394,Semi-Auto,22476,Petrol,145,48.7,2.0
 1 Series,2013,18847,Semi-Auto,42786,Petrol,235,37.7,3.0
 1 Series,2015,14297,Manual,42410,Diesel,30,65.7,2.0
 5 Series,2014,15597,Semi-Auto,60681,Diesel,125,57.6,2.0
 X1,2016,18847,Manual,57717,Diesel,125,58.9,2.0
 3 Series,2017,22097,Semi-Auto,8096,Petrol,145,51.4,2.0
 1 Series,2015,14947,Manual,49151,Diesel,30,62.8,2.0
 X6,2017,38347,Semi-Auto,40429,Diesel,200,47.1,3.0
 M4,2016,40947,Semi-Auto,21107,Petrol,300,34.0,3.0
 1 Series,2016,25347,Semi-Auto,33043,Petrol,200,39.8,3.0
 X1,2016,23397,Semi-Auto,50378,Diesel,125,57.6,2.0
 5 Series,2019,33797,Semi-Auto,11115,Diesel,145,65.7,2.0
 X1,2013,10787,Manual,69020,Diesel,125,57.6,2.0
 8 Series,2019,80467,Semi-Auto,2650,Diesel,145,39.8,3.0
 1 Series,2014,17287,Manual,55834,Petrol,300,35.3,3.0
 3 Series,2019,28467,Semi-Auto,5761,Diesel,150,55.4,2.0
 1 Series,2017,14947,Semi-Auto,47110,Diesel,0,78.5,1.5
 X3,2014,22744,Semi-Auto,54075,Diesel,145,54.3,2.0
 5 Series,2015,19497,Semi-Auto,45152,Diesel,30,62.8,2.0
 2 Series,2014,13647,Manual,52091,Diesel,125,58.9,2.0
 1 Series,2019,25997,Semi-Auto,4812,Petrol,145,47.9,2.0
 X1,2016,21707,Semi-Auto,37272,Petrol,160,44.8,2.0
 3 Series,2019,36397,Semi-Auto,4250,Diesel,145,48.7,2.0
 5 Series,2018,36137,Semi-Auto,15711,Diesel,145,60.1,3.0
 1 Series,2016,23787,Manual,21236,Petrol,260,36.2,3.0
 1 Series,2017,19107,Semi-Auto,24008,Petrol,145,55.5,1.5
 X1,2016,24047,Semi-Auto,25994,Diesel,145,55.4,2.0
 X5,2015,36397,Automatic,24188,Diesel,200,47.1,3.0
 X5,2015,27947,Automatic,59216,Diesel,200,47.9,3.0
 1 Series,2017,25347,Manual,21171,Petrol,260,36.2,3.0
 1 Series,2017,18847,Manual,24259,Petrol,145,52.3,1.5
 5 Series,2017,29897,Semi-Auto,19379,Diesel,145,65.7,2.0
 1 Series,2017,18847,Manual,20790,Diesel,145,70.6,1.5
 5 Series,2019,38867,Semi-Auto,2743,Diesel,145,60.1,2.0
 3 Series,2019,29897,Semi-Auto,6000,Petrol,145,48.7,2.0
 3 Series,2019,38997,Manual,3980,Diesel,145,53.3,2.0
 4 Series,2019,38867,Semi-Auto,101,Diesel,145,60.1,2.0
 5 Series,2017,26647,Semi-Auto,12725,Diesel,145,68.9,2.0
 3 Series,2019,35945,Semi-Auto,18200,Diesel,150,48.7,2.0
 Z4,2016,24245,Semi-Auto,25300,Petrol,205,41.5,2.0
 4 Series,2018,29894,Automatic,7200,Petrol,145,48.7,2.0
 X6,2018,48094,Semi-Auto,6100,Diesel,145,47.1,3.0
 5 Series,2018,35094,Automatic,6800,Diesel,145,68.9,2.0
 1 Series,2013,15594,Manual,31600,Diesel,125,57.6,2.0
 5 Series,2018,33794,Semi-Auto,8700,Diesel,145,49.6,2.0
 X6,2016,38994,Automatic,43600,Diesel,200,44.8,3.0
 3 Series,2018,27944,Semi-Auto,16452,Petrol,150,48.7,2.0
 5 Series,2017,29897,Automatic,15838,Diesel,145,60.1,2.0
 5 Series,2019,44847,Automatic,6775,Diesel,145,51.4,3.0
 1 Series,2019,24047,Semi-Auto,11234,Diesel,145,68.9,2.0
 7 Series,2019,59667,Semi-Auto,5893,Diesel,145,44.1,3.0
 X3,2019,49267,Semi-Auto,9781,Diesel,145,48.7,3.0
 X5,2016,44847,Automatic,17303,Hybrid,0,85.6,2.0
 1 Series,2016,23397,Manual,25334,Petrol,300,35.3,3.0
 3 Series,2016,24047,Semi-Auto,36501,Diesel,145,53.3,3.0
 2 Series,2019,31197,Semi-Auto,2318,Petrol,145,47.9,2.0
 X1,2017,27947,Semi-Auto,14418,Diesel,145,55.4,2.0
 X1,2017,24050,Semi-Auto,12160,Diesel,145,65.7,2.0
 X3,2018,40300,Semi-Auto,20290,Diesel,145,48.7,3.0
 X1,2016,25350,Semi-Auto,13690,Diesel,125,57.6,2.0
 X5,2017,44200,Automatic,22158,Diesel,205,47.1,3.0
 X5,2015,36400,Automatic,36174,Diesel,205,47.1,3.0
 3 Series,2018,28600,Semi-Auto,30000,Diesel,150,53.3,3.0
 1 Series,2016,20800,Manual,40125,Petrol,305,35.3,3.0
 3 Series,2017,23400,Manual,20087,Petrol,165,44.8,2.0
 X7,2020,101400,Semi-Auto,5000,Diesel,150,31.4,3.0
 3 Series,2018,29250,Semi-Auto,11150,Petrol,145,48.7,2.0
 1 Series,2018,20150,Manual,5827,Petrol,145,37.7,1.5
 4 Series,2019,37700,Semi-Auto,14000,Diesel,145,50.4,3.0
 4 Series,2019,32110,Semi-Auto,5196,Diesel,145,65.7,2.0
 2 Series,2019,31200,Semi-Auto,2500,Petrol,145,39.2,1.5
 1 Series,2018,20800,Manual,7000,Diesel,145,50.4,1.5
 X3,2019,72800,Semi-Auto,26,Petrol,145,24.8,3.0
 1 Series,2019,41600,Semi-Auto,4493,Petrol,145,34.5,2.0
 X1,2018,26000,Semi-Auto,10545,Diesel,145,60.1,2.0
 X1,2017,28600,Semi-Auto,16500,Petrol,145,44.8,2.0
 3 Series,2016,22097,Semi-Auto,43695,Hybrid,0,134.5,2.0
 X3,2015,22747,Semi-Auto,48867,Diesel,145,54.3,2.0
 1 Series,2017,20537,Semi-Auto,23157,Petrol,145,54.3,1.5
 X1,2016,24697,Semi-Auto,30434,Diesel,125,57.6,2.0
 3 Series,2015,26000,Semi-Auto,39700,Diesel,160,50.4,3.0
 5 Series,2019,36400,Semi-Auto,5739,Diesel,145,62.8,2.0
 X5,2017,53950,Automatic,18000,Diesel,145,42.8,3.0
 1 Series,2018,20800,Semi-Auto,24275,Diesel,145,68.9,1.5
 4 Series,2017,27040,Semi-Auto,14774,Diesel,125,58.9,2.0
 3 Series,2018,26650,Semi-Auto,12133,Petrol,145,48.7,2.0
 1 Series,2017,20150,Manual,15645,Petrol,125,52.3,1.5
 X4,2016,32500,Semi-Auto,25085,Diesel,200,47.9,3.0
 1 Series,2017,27950,Semi-Auto,19486,Petrol,145,39.8,3.0
 X2,2019,39000,Semi-Auto,5431,Diesel,145,48.7,2.0
 7 Series,2020,68900,Semi-Auto,6555,Diesel,145,42.2,3.0
 3 Series,2014,18200,Semi-Auto,73923,Diesel,160,52.3,3.0
 1 Series,2018,33787,Semi-Auto,6500,Petrol,150,32.5,3.0
 X4,2018,41600,Semi-Auto,10920,Diesel,150,42.8,2.0
 3 Series,2019,31590,Semi-Auto,8000,Petrol,150,44.8,2.0
 5 Series,2019,42900,Semi-Auto,12250,Diesel,150,53.3,3.0
 X3,2016,26650,Semi-Auto,37000,Diesel,145,54.3,2.0
 3 Series,2016,24700,Semi-Auto,40500,Diesel,145,53.3,3.0
 3 Series,2017,23400,Semi-Auto,33000,Diesel,145,60.1,2.0
 M4,2020,66300,Semi-Auto,2000,Petrol,145,32.5,3.0
 X3,2015,21450,Semi-Auto,48000,Diesel,145,54.3,2.0
 4 Series,2017,25740,Manual,17410,Petrol,150,40.9,2.0
 1 Series,2017,17550,Manual,25975,Petrol,145,53.3,1.5
 1 Series,2019,24050,Semi-Auto,12054,Petrol,150,54.3,1.5
 1 Series,2014,12090,Manual,51203,Diesel,30,65.7,2.0
 X5,2019,65000,Semi-Auto,5145,Diesel,150,37.7,3.0
 1 Series,2017,15340,Manual,23274,Diesel,20,72.4,1.5
 4 Series,2018,28600,Semi-Auto,10948,Diesel,145,60.1,2.0
 2 Series,2019,35750,Semi-Auto,7000,Petrol,145,38.2,3.0
 5 Series,2019,36400,Semi-Auto,16000,Diesel,145,60.1,3.0
 2 Series,2020,37700,Manual,5550,Petrol,145,43.5,1.5
 3 Series,2014,21840,Semi-Auto,50687,Diesel,160,52.3,3.0
 3 Series,2013,20150,Semi-Auto,46500,Diesel,150,55.4,3.0
 X1,2016,25090,Semi-Auto,25300,Diesel,125,60.1,2.0
 1 Series,2017,22097,Semi-Auto,12458,Diesel,30,62.8,2.0
 1 Series,2017,27947,Semi-Auto,21200,Petrol,200,39.8,3.0
 4 Series,2016,24697,Semi-Auto,20151,Diesel,145,53.3,3.0
 X1,2017,24047,Manual,13278,Diesel,125,58.9,2.0
 5 Series,2019,35100,Semi-Auto,9000,Petrol,145,48.7,2.0
 2 Series,2018,23400,Semi-Auto,13174,Diesel,145,49.6,2.0
 7 Series,2016,33800,Semi-Auto,39085,Diesel,145,54.3,3.0
 3 Series,2017,33150,Semi-Auto,14834,Diesel,145,51.4,3.0
 3 Series,2016,23400,Semi-Auto,15088,Diesel,145,55.4,3.0
 1 Series,2017,21840,Semi-Auto,16761,Diesel,145,67.3,2.0
 3 Series,2018,27690,Semi-Auto,18564,Diesel,145,60.1,2.0
 X2,2019,37700,Semi-Auto,1418,Petrol,145,36.2,2.0
 3 Series,2019,44200,Semi-Auto,5525,Diesel,145,50.4,2.0
 3 Series,2017,31200,Semi-Auto,15338,Diesel,145,49.6,3.0
 3 Series,2013,19487,Semi-Auto,35500,Diesel,145,55.4,2.0
 5 Series,2017,39000,Semi-Auto,11086,Diesel,145,53.3,3.0
 1 Series,2018,20540,Semi-Auto,11132,Petrol,145,55.5,1.5
 1 Series,2018,21450,Semi-Auto,7656,Petrol,145,37.2,1.5
 X3,2015,25350,Semi-Auto,41567,Diesel,145,54.3,2.0
 5 Series,2019,52000,Semi-Auto,1034,Petrol,145,39.2,3.0
 1 Series,2017,28340,Semi-Auto,20294,Petrol,200,39.8,3.0
 3 Series,2017,27297,Semi-Auto,30422,Diesel,145,51.4,3.0
 3 Series,2017,25607,Semi-Auto,20313,Diesel,145,56.5,3.0
 3 Series,2016,27947,Semi-Auto,28775,Diesel,160,51.4,3.0
 3 Series,2015,22360,Semi-Auto,6147,Petrol,145,47.9,2.0
 X5,2013,31200,Automatic,45150,Diesel,200,45.6,3.0
 1 Series,2019,33800,Manual,2073,Diesel,145,57.7,1.5
 4 Series,2020,35100,Semi-Auto,25,Petrol,145,48.7,2.0
 4 Series,2020,35750,Semi-Auto,25,Diesel,145,60.1,2.0
 X5,2019,67600,Semi-Auto,6500,Diesel,145,37.7,3.0
 4 Series,2019,41600,Semi-Auto,4025,Diesel,145,50.4,3.0
 2 Series,2015,13647,Manual,27221,Diesel,0,74.3,1.5
 3 Series,2013,12980,Manual,75561,Diesel,20,68.9,2.0
 X4,2015,25330,Manual,53755,Diesel,160,52.3,2.0
 3 Series,2013,12954,Semi-Auto,95043,Diesel,30,62.8,2.0
 X1,2014,14280,Semi-Auto,56952,Diesel,160,52.3,2.0
 1 Series,2017,17536,Semi-Auto,59066,Diesel,20,72.4,1.5
 3 Series,2016,18192,Semi-Auto,46889,Diesel,30,67.3,2.0
 5 Series,2019,46735,Semi-Auto,5137,Diesel,145,51.4,3.0
 4 Series,2019,33137,Semi-Auto,8794,Diesel,145,60.1,2.0
 5 Series,2019,45370,Semi-Auto,9854,Diesel,145,53.3,3.0
 7 Series,2018,54600,Semi-Auto,7123,Diesel,145,52.3,3.0
 1 Series,2014,15600,Manual,41500,Diesel,125,57.6,2.0
 1 Series,2016,18200,Manual,24678,Diesel,30,65.7,2.0
 M4,2019,62400,Semi-Auto,2258,Petrol,145,34.0,3.0
 2 Series,2019,31135,Semi-Auto,4413,Diesel,145,46.3,2.0
 4 Series,2019,34515,Semi-Auto,7292,Diesel,145,58.9,2.0
 X1,2016,23400,Semi-Auto,46354,Diesel,125,57.6,2.0
 6 Series,2018,36387,Semi-Auto,21525,Diesel,150,49.6,3.0
 1 Series,2017,17485,Manual,15663,Petrol,150,53.3,1.5
 X5,2017,45487,Automatic,18000,Diesel,200,47.1,3.0
 4 Series,2020,38350,Semi-Auto,17,Diesel,145,60.1,2.0
 5 Series,2019,37050,Semi-Auto,3816,Diesel,145,62.8,2.0
 5 Series,2019,33800,Semi-Auto,4405,Petrol,145,48.7,2.0
 X2,2019,35100,Manual,4825,Diesel,145,49.6,2.0
 4 Series,2019,35100,Semi-Auto,4406,Diesel,145,60.1,2.0
 3 Series,2019,42900,Semi-Auto,11564,Diesel,145,49.6,2.0
 X2,2019,41600,Semi-Auto,10,Petrol,145,34.0,2.0
 5 Series,2016,18844,Semi-Auto,51700,Diesel,30,65.7,2.0
 3 Series,2013,12347,Semi-Auto,55701,Petrol,145,47.9,1.6
 1 Series,2018,30547,Semi-Auto,11131,Petrol,145,39.8,3.0
 3 Series,2020,66300,Semi-Auto,5000,Diesel,150,43.5,3.0
 X3,2016,28600,Semi-Auto,25000,Diesel,150,54.3,2.0
 1 Series,2017,29900,Semi-Auto,18100,Petrol,150,39.8,3.0
 X6,2018,51987,Semi-Auto,7427,Diesel,145,40.9,3.0
 3 Series,2017,22100,Semi-Auto,43362,Diesel,145,56.5,3.0
 1 Series,2017,15587,Manual,18435,Petrol,125,53.3,1.5
 1 Series,2019,21450,Semi-Auto,5000,Diesel,145,72.4,1.5
 X4,2018,52000,Semi-Auto,4135,Diesel,145,37.2,3.0
 1 Series,2019,35100,Semi-Auto,1214,Diesel,145,51.4,2.0
 M5,2019,93600,Semi-Auto,3545,Petrol,145,24.1,4.4
 3 Series,2017,25545,Semi-Auto,43267,Diesel,145,62.8,2.0
 X5,2020,79287,Semi-Auto,3500,Diesel,145,33.6,3.0
 4 Series,2019,29250,Semi-Auto,5623,Diesel,145,65.7,2.0
 M4,2018,56550,Semi-Auto,2577,Petrol,150,34.0,3.0
 2 Series,2015,24310,Semi-Auto,43617,Petrol,265,37.2,3.0
 X5,2015,33800,Automatic,52936,Diesel,205,47.1,3.0
 7 Series,2017,44200,Semi-Auto,25000,Diesel,150,53.3,3.0
 3 Series,2014,19500,Semi-Auto,56000,Diesel,150,55.4,2.0
 3 Series,2017,23790,Semi-Auto,20000,Diesel,150,62.8,2.0
 4 Series,2015,20787,Semi-Auto,87597,Diesel,160,51.4,3.0
 3 Series,2013,12994,Manual,74449,Petrol,200,41.5,2.0
 X2,2019,30547,Semi-Auto,3241,Petrol,150,40.4,2.0
 3 Series,2019,44785,Semi-Auto,3500,Diesel,145,45.6,3.0
 X7,2019,87620,Semi-Auto,5600,Diesel,150,33.6,3.0
 7 Series,2019,62387,Semi-Auto,7780,Petrol,145,34.5,3.0
 X3,2020,46670,Semi-Auto,4500,Diesel,150,54.3,2.0
 4 Series,2016,24047,Semi-Auto,24188,Diesel,145,55.4,3.0
 X1,2017,24697,Semi-Auto,26939,Diesel,145,65.7,2.0
 X1,2018,22094,Semi-Auto,17276,Petrol,150,46.3,1.5
 3 Series,2017,27297,Semi-Auto,26252,Diesel,145,51.4,3.0
 3 Series,2017,20797,Semi-Auto,19675,Petrol,125,51.4,2.0
 1 Series,2019,37700,Semi-Auto,100,Diesel,150,48.7,2.0
 X5,2019,66300,Semi-Auto,6000,Diesel,150,37.7,3.0
 X5,2017,38928,Automatic,30207,Diesel,200,47.1,3.0
 5 Series,2018,31974,Semi-Auto,28502,Diesel,145,65.7,2.0
 5 Series,2014,18187,Semi-Auto,73837,Diesel,160,51.4,3.0
 3 Series,2017,19487,Semi-Auto,48604,Diesel,30,67.3,2.0
 5 Series,2017,29887,Semi-Auto,33492,Diesel,145,60.1,2.0
 5 Series,2013,13644,Semi-Auto,83380,Diesel,125,57.6,2.0
 4 Series,2018,29374,Semi-Auto,18937,Petrol,145,48.7,2.0
 3 Series,2019,36394,Semi-Auto,2460,Diesel,145,53.3,2.0
